variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
height,0,2,10,0,10,50
2019-01-01 00:00:00,99760,273.37,7.11,0.15,273.27,9.85
2019-01-01 01:00:00,99480,273.56,6.87,0.15,273.46,10.08
2019-01-01 02:00:00,99200,273.58,6.21,0.15,273.48,9.27
2019-01-01 03:00:00,98910,273.61,3.66,0.15,273.51,6.51
2019-01-01 04:00:00,98760,273.58,1.26,0.15,273.48,2.28
2019-01-01 05:00:00,98790,273.33,1.13,0.15,273.23,2.16
2019-01-01 06:00:00,98970,273.09,3.68,0.15,272.99,5.53
2019-01-01 07:00:00,99250,272.55,6.36,0.15,272.45,8.37
2019-01-01 08:00:00,99640,271.53,7.12,0.15,271.43,9.16
2019-01-01 09:00:00,100050,271.08,8.48,0.15,270.98,10.44
2019-01-01 10:00:00,100340,271.25,9.04,0.15,271.15,11.13
2019-01-01 11:00:00,100530,271.23,8.94,0.15,271.13,10.81
2019-01-01 12:00:00,100670,270.63,8.67,0.15,270.53,10.38
2019-01-01 13:00:00,100840,269.62,8.13,0.15,269.52,9.68
2019-01-01 14:00:00,101040,268.26,7.63,0.15,268.16,9.23
2019-01-01 15:00:00,101220,266.3,6.93,0.15,266.2,9.02
2019-01-01 16:00:00,101400,263.63,5.92,0.15,263.53,8.91
2019-01-01 17:00:00,101600,261.11,5.23,0.15,261.01,8.63
2019-01-01 18:00:00,101770,258.91,4.5,0.15,258.81,8.04
2019-01-01 19:00:00,101870,256.98,3.94,0.15,256.88,7.24
2019-01-01 20:00:00,101930,255.34,3.6,0.15,255.24,6.34
2019-01-01 21:00:00,101980,253.97,3.35,0.15,253.87,5.44
2019-01-01 22:00:00,102030,252.8,3.24,0.15,252.7,5.09
2019-01-01 23:00:00,102080,252.17,3.13,0.15,252.07,4.98
2019-01-02 00:00:00,102130,251.74,2.91,0.15,251.64,4.56
2019-01-02 01:00:00,102220,250.95,2.93,0.15,250.85,4.46
2019-01-02 02:00:00,102300,250.59,2.84,0.15,250.49,4.25
2019-01-02 03:00:00,102360,250.5,2.73,0.15,250.4,4.1
2019-01-02 04:00:00,102400,250.41,2.52,0.15,250.31,3.76
2019-01-02 05:00:00,102470,250.84,2.25,0.15,250.74,3.42
2019-01-02 06:00:00,102550,251.28,2.09,0.15,251.18,3.35
2019-01-02 07:00:00,102630,250.85,2.18,0.15,250.75,3.27
2019-01-02 08:00:00,102640,251.02,1.95,0.15,250.92,2.79
2019-01-02 09:00:00,102630,252.95,1.92,0.15,252.85,2.28
2019-01-02 10:00:00,102600,254.68,1.36,0.15,254.58,1.28
2019-01-02 11:00:00,102530,256.41,1.21,0.15,256.31,1.27
2019-01-02 12:00:00,102450,257.61,1.4,0.15,257.51,1.56
